Name,Latest,Change %,1 year %,Market value MSEK,P/E,Dividend yield %,Owners,List
Husqvarna B,80.34,0.75,-0.54,46320,25.36,3.76,24894,Large Cap Stockholm
Industrivärden A,324.7,0.53,20.13,140160,4.62,2.24,24840,Large Cap Stockholm
Industrivärden C,324.7,0.56,20.48,140160,4.62,2.25,71460,Large Cap Stockholm
Indutrade,259.7,1.8,11.84,93295,32.81,1.02,12585,Large Cap Stockholm
Instalco,43.44,4.07,3.13,11066,17.75,1.58,11004,Large Cap Stockholm
International Petroleum Corp.,118.5,3.54,15.05,14535,6.79,0.0,8194,Large Cap Stockholm
Intrum,74.02,5.71,-45.55,8523,-2.22,19.28,43247,Large Cap Stockholm
Investor A,229.6,1.37,10.7,706899,5.85,1.94,78460,Large Cap Stockholm
Investor B,231.6,1.31,13.33,706899,5.91,1.92,362951,Large Cap Stockholm
JM,178.6,3.9,-10.48,11566,9.22,8.14,18675,Large Cap Stockholm
Kindred Group,93.74,-0.13,-20.12,21600,13.1,4.81,26981,Large Cap Stockholm
Kinnevik A,103.4,0.39,-37.03,29185,-4.01,0.0,12968,Large Cap Stockholm
Kinnevik B,103.15,1.43,-36.91,29185,-3.96,0.0,116699,Large Cap Stockholm
Lagercrantz Group B,133.4,0.91,23.63,27952,33.04,1.21,7152,Large Cap Stockholm
Latour B,257.2,1.82,19.02,164941,27.34,1.46,101387,Large Cap Stockholm
Lifco B,255.0,2.33,35.75,113191,35.65,0.72,16307,Large Cap Stockholm
Lindab International,187.2,0.54,27.09,14681,17.24,2.79,8490,Large Cap Stockholm
Loomis,269.2,0.6,-7.81,20145,11.26,4.48,6749,Large Cap Stockholm
Lundbergföretagen B,540.2,1.27,15.43,133772,13.15,0.75,42199,Large Cap Stockholm
Lundin Gold,119.2,3.47,4.01,28091,26.23,3.7,9508,Large Cap Stockholm
Lundin Mining Corporation,82.8,3.18,10.16,62089,14.75,3.55,16802,Large Cap Stockholm
Medicover B,162.9,4.29,7.17,25045,158.81,0.88,2825,Large Cap Stockholm
Millicom Int. Cellular SDB,191.85,0.5,32.49,32854,-62.98,0.0,27464,Large Cap Stockholm
Mips,312.3,2.06,-25.55,8107,122.7,1.8,16261,Large Cap Stockholm
Modern Times Group A,79.0,-1.25,-4.82,10520,29.8,0.0,585,Large Cap Stockholm
Modern Times Group B,80.7,2.87,0.01,10520,29.23,0.0,11186,Large Cap Stockholm
Munters Group,157.1,2.81,51.06,28293,32.2,0.62,7294,Large Cap Stockholm
Mycronic,280.2,0.72,42.89,27344,36.94,1.26,7607,Large Cap Stockholm
NCAB Group,67.9,2.34,-3.21,12686,30.41,1.66,5051,Large Cap Stockholm
NCC A,127.0,0.4,5.83,12705,7.78,4.74,2830,Large Cap Stockholm
NCC B,127.3,0.79,20.21,12705,7.77,4.75,15534,Large Cap Stockholm
New Wave B,97.63,2.19,-14.66,12934,10.57,3.4,24206,Large Cap Stockholm
NIBE Industrier B,65.02,-0.88,-37.96,132761,25.5,0.99,115223,Large Cap Stockholm
Nolato B,52.6,2.04,-11.0,14224,27.44,3.69,6886,Large Cap Stockholm
Nordea Bank Abp,127.28,0.36,5.35,446150,7.77,7.08,65919,Large Cap Stockholm
Nordnet,164.8,2.42,7.36,41202,16.6,2.86,5975,Large Cap Stockholm
NP3 Fastigheter,216.8,1.21,-2.34,13339,94.01,2.33,4668,Large Cap Stockholm
NP3 Fastigheter Pref,26.85,-0.19,-3.42,13339,35.87,7.43,4897,Large Cap Stockholm
Nyfosa,87.45,5.11,-3.58,16629,-19.1,4.81,10578,Large Cap Stockholm
OX2,54.1,3.84,-35.56,14716,10.79,0.0,14392,Large Cap Stockholm
Pandox B,144.3,1.33,9.65,26512,40.53,1.76,4128,Large Cap Stockholm
Peab B,54.0,0.93,-16.28,15839,6.59,7.48,37169,Large Cap Stockholm
Ratos A,37.15,0.68,-13.5,11722,11.22,2.28,3621,Large Cap Stockholm
Ratos B,35.52,2.48,-11.62,11722,10.54,2.42,32946,Large Cap Stockholm
SAAB B,675.4,2.43,64.45,89577,26.25,0.8,61665,Large Cap Stockholm
Sagax A,258.0,1.18,-5.49,91210,120.64,1.06,1202,Large Cap Stockholm
Sagax B,258.0,1.65,-6.45,91210,120.07,1.06,6533,Large Cap Stockholm
Sagax D,28.0,1.27,-0.53,91210,13.08,7.23,10467,Large Cap Stockholm
Samhällsbyggnadsbo. i Norden B,5.022,3.81,-75.79,8379,-0.27,0.0,179285,Large Cap Stockholm
Samhällsbyggnadsbo. i Norden D,5.62,4.93,-74.08,8379,-0.29,0.0,28620,Large Cap Stockholm
Sampo Oyj SDB,436.5,0.34,-18.26,218784,14.47,4.59,4162,Large Cap Stockholm
Sandvik,215.5,1.84,5.38,269568,18.32,2.36,48017,Large Cap Stockholm
SCA A,145.0,1.4,0.83,101776,25.06,1.75,6427,Large Cap Stockholm
SCA B,145.0,1.01,1.83,101776,25.16,1.74,39242,Large Cap Stockholm
SEB A,144.7,1.72,12.34,310581,7.98,4.75,58514,Large Cap Stockholm
SEB C,146.6,1.1,7.48,310581,8.13,4.66,12622,Large Cap Stockholm
SECTRA B,179.64,1.64,23.51,34768,78.14,0.0,7951,Large Cap Stockholm
Securitas B,99.52,2.39,6.42,57202,38.09,3.55,30856,Large Cap Stockholm
Sinch,30.935,1.24,-36.05,26018,-78.52,0.0,68056,Large Cap Stockholm
Skanska B,176.6,1.49,-1.78,73987,10.76,4.31,45484,Large Cap Stockholm
SKF A,197.8,1.85,7.85,89922,12.56,3.6,4165,Large Cap Stockholm
SKF B,196.6,0.95,8.35,89922,12.6,3.59,24592,Large Cap Stockholm
SSAB A,76.5,1.97,20.74,78340,-4.1,11.6,23268,Large Cap Stockholm
SSAB B,76.06,2.04,24.69,78340,-4.07,11.67,106509,Large Cap Stockholm
Stora Enso A,139.2,1.75,-15.84,109933,21.07,4.92,8523,Large Cap Stockholm
Stora Enso R,139.5,1.45,-11.65,109933,21.18,4.89,14121,Large Cap Stockholm
Storskogen Group B,8.76,3.42,4.21,14194,11.63,0.94,25336,Large Cap Stockholm
SWECO A,128.5,0.78,12.72,46550,26.15,2.12,1021,Large Cap Stockholm
SWECO B,129.3,2.78,13.32,46550,25.8,2.15,8895,Large Cap Stockholm
Swedbank A,208.3,1.12,8.77,236361,7.1,4.73,94999,Large Cap Stockholm
Swedish Orphan Biovitrum,290.6,1.61,28.3,101735,35.06,0.0,8496,Large Cap Stockholm
Systemair,79.9,1.78,3.77,17182,12.79,1.4,4305,Large Cap Stockholm
Tele2 A,90.8,0.22,-4.82,61254,15.46,7.51,1022,Large Cap Stockholm
Tele2 B,87.64,-0.07,-4.72,61254,14.97,7.75,71773,Large Cap Stockholm
Telia Company,27.39,0.33,-0.22,107583,-7.11,7.33,63222,Large Cap Stockholm
Thule Group,260.2,-1.29,7.08,28189,26.27,3.49,17105,Large Cap Stockholm
TietoEVRY Oyj,241.6,1.43,-22.46,28139,13.01,7.03,3572,Large Cap Stockholm
TRATON,244.4,0.66,43.51,122400,4.34,3.35,9319,Large Cap Stockholm
Trelleborg B,337.1,3.06,36.37,83452,7.7,1.83,14672,Large Cap Stockholm
Troax Group,242.4,2.02,23.55,14436,34.87,1.51,4460,Large Cap Stockholm
Truecaller B,31.81,-0.22,-20.2,12153,22.46,0.0,11205,Large Cap Stockholm
Vitec Software Group B,592.5,3.77,48.35,21515,65.25,0.4,7604,Large Cap Stockholm
Vitrolife,174.6,2.11,-14.83,23250,57.76,0.5,10871,Large Cap Stockholm
Volvo A,255.6,1.27,22.18,510042,11.52,2.77,15231,Large Cap Stockholm
Volvo B,250.15,1.25,25.78,510042,11.28,2.83,160402,Large Cap Stockholm
Volvo Car B,28.28,-3.68,-44.59,83606,6.44,0.0,106613,Large Cap Stockholm
Wallenstam B,52.5,3.35,6.28,33528,-19.02,1.18,11238,Large Cap Stockholm
Wihlborgs Fastigheter,92.35,1.48,8.26,27976,45.64,3.41,9204,Large Cap Stockholm
